,name,polygon,area
0,Uğur Mumcu Parkı,"[(32.8782618, 39.8963808), (32.8786055, 39.8961888), (32.8789666, 39.896506), (32.8786358, 39.8967417), (32.8782618, 39.8963808)]",1830.7108116226948
1,Barış Manço Parkı,"[(32.8612043, 39.8782581), (32.8614007, 39.8782115), (32.8616122, 39.8781509), (32.8618441, 39.8780804), (32.862006, 39.8780159), (32.8622347, 39.8778745), (32.8623149, 39.8778155), (32.8623643, 39.8777791), (32.8625469, 39.8775886), (32.8625964, 39.8774944), (32.8625829, 39.8773813), (32.8625522, 39.8773215), (32.8624174, 39.8770586), (32.8623548, 39.87692), (32.861013, 39.877222), (32.8611027, 39.8775993), (32.8611528, 39.8778492), (32.8612043, 39.8782581)]",13156.341623104367
2,Altınpark,"[(32.8783494, 39.9714742), (32.878049, 39.9712769), (32.8775341, 39.9708822), (32.8770727, 39.9704053), (32.8765792, 39.9698298), (32.8747982, 39.9675521), (32.873278, 39.9658832), (32.8734927, 39.965789), (32.8738335, 39.9661708), (32.8745908, 39.9658791), (32.8751598, 39.9656261), (32.8748229, 39.9651134), (32.8754741, 39.9648057), (32.8756351, 39.9648304), (32.8757638, 39.9648221), (32.8834778, 39.9613602), (32.8835637, 39.9613931), (32.8846795, 39.9652744), (32.8849584, 39.9664996), (32.884937, 39.9666558), (32.8848404, 39.9668532), (32.8844542, 39.9674863), (32.884304, 39.9676097), (32.8840894, 39.9677741), (32.8783494, 39.9714742)]",597503.7380639212
3,Kuğulu Park,"[(32.8598136, 39.9012783), (32.8598966, 39.9013181), (32.8600547, 39.9014124), (32.860142, 39.9014698), (32.8602283, 39.9015203), (32.8603156, 39.9015564), (32.8603898, 39.9015815), (32.8604731, 39.9016066), (32.8605681, 39.9016266), (32.8606814, 39.9016466), (32.8607932, 39.9016624), (32.8608694, 39.9016921), (32.8609071, 39.9017131), (32.8609336, 39.9017387), (32.8609704, 39.9017849), (32.8609818, 39.9018312), (32.8609855, 39.9018765), (32.86098, 39.9019146), (32.8609605, 39.9019642), (32.8609305, 39.9020146), (32.8608648, 39.9021224), (32.86084, 39.9021851), (32.8607285, 39.9022909), (32.8606083, 39.9022946), (32.8605324, 39.9023063), (32.8604455, 39.9023276), (32.8603605, 39.9024002), (32.8594222, 39.9022703), (32.8594402, 39.9021894), (32.8594445, 39.902145), (32.8594441, 39.9021175), (32.8594476, 39.9020445), (32.8594477, 39.9019521), (32.8594495, 39.9018214), (32.8594582, 39.9016542), (32.8594679, 39.9015031), (32.8594591, 39.9013543), (32.8595117, 39.9013267), (32.8595766, 39.9012943), (32.8596486, 39.9012788), (32.8597225, 39.9012742), (32.8598136, 39.9012783)]",11748.713310286046
4,Botanik Parkı,"[(32.855435, 39.8888012), (32.8555327, 39.8887827), (32.8558779, 39.8888946), (32.8560084, 39.8890249), (32.8563106, 39.8891702), (32.8563899, 39.8894743), (32.8563944, 39.8896601), (32.856616, 39.8901156), (32.8567262, 39.8900731), (32.8568271, 39.8900342), (32.8568229, 39.8900051), (32.8567412, 39.8894388), (32.8566394, 39.8887337), (32.8573431, 39.8887615), (32.8575349, 39.8886963), (32.8586109, 39.8881611), (32.8586692, 39.8881321), (32.8582042, 39.8875506), (32.8576537, 39.8868495), (32.8574598, 39.8866012), (32.8573444, 39.8864827), (32.857062, 39.8862726), (32.8570049, 39.8863188), (32.8569404, 39.886371), (32.8566873, 39.886321), (32.8563761, 39.8862678), (32.8560326, 39.8862785), (32.8557275, 39.8863801), (32.8557198, 39.8864168), (32.8554982, 39.886545), (32.8553085, 39.8866827), (32.8552468, 39.8867537), (32.8550831, 39.8866987), (32.8550139, 39.886993), (32.8549817, 39.8872256), (32.8549764, 39.8874458), (32.854979, 39.8876897), (32.8550073, 39.8881961), (32.8553369, 39.8882693), (32.855435, 39.8888012)]",70698.1435076535
5,Eski Başbakanlık Parkı,"[(32.860457, 39.8917917), (32.8603015, 39.8916808), (32.8600281, 39.8915359), (32.8598158, 39.8914082), (32.85973, 39.8913565), (32.8596586, 39.8913066), (32.8595538, 39.8912332), (32.8593863, 39.8910714), (32.8592454, 39.890914), (32.8591284, 39.890764), (32.8590707, 39.8906501), (32.8590399, 39.8905524), (32.8590238, 39.8904628), (32.8590319, 39.8904083), (32.8590587, 39.8903579), (32.8591003, 39.8903136), (32.85917, 39.890285), (32.8592619, 39.8902709), (32.8593532, 39.8902623), (32.8594967, 39.8902583), (32.8598963, 39.890287), (32.8600136, 39.8902954), (32.8610751, 39.8905388), (32.8610951, 39.8906527), (32.8611457, 39.8907781), (32.8612275, 39.8910666), (32.860457, 39.8917917)]",20148.947449960866
6,Portakal Çiçeği Vadisi,"[(32.8536447, 39.8852849), (32.8537404, 39.8852914), (32.8539148, 39.8853072), (32.8540821, 39.8853292), (32.8542392, 39.8849824), (32.8543825, 39.8850029), (32.8544327, 39.885035), (32.8544918, 39.8850583), (32.8545089, 39.8850628), (32.8543777, 39.8853529), (32.8543671, 39.8853513), (32.8542529, 39.8856185), (32.8542609, 39.8856203), (32.8541783, 39.8857725), (32.8541591, 39.885767), (32.8540943, 39.8858804), (32.8544795, 39.8860085), (32.8544627, 39.8860398), (32.8543556, 39.886156), (32.8540118, 39.8859844), (32.8538149, 39.8862119), (32.8536972, 39.8861628), (32.8535118, 39.8861754), (32.8533027, 39.8863119), (32.8533109, 39.8863658), (32.8532361, 39.8863767), (32.8532548, 39.8864789), (32.8531893, 39.886491), (32.8531069, 39.8865487), (32.8531337, 39.8867317), (32.8531017, 39.8867342), (32.8531369, 39.8870547), (32.8530264, 39.887186), (32.8530072, 39.887177), (32.8529017, 39.8873083), (32.8532442, 39.8874776), (32.8531604, 39.8875754), (32.8531098, 39.8876333), (32.8528135, 39.8874598), (32.8525813, 39.8876909), (32.8521703, 39.8881914), (32.852527, 39.8883665), (32.8524953, 39.8884069), (32.8521778, 39.8887796), (32.8521166, 39.888847), (32.8518647, 39.8891246), (32.8517583, 39.8892656), (32.8516838, 39.8894162), (32.8515821, 39.8896197), (32.8510885, 39.8895043), (32.8504229, 39.8906618), (32.8498971, 39.8904958), (32.8494396, 39.8905666), (32.8493897, 39.8903024), (32.84935, 39.8901596), (32.8492874, 39.8899342), (32.8495241, 39.889977), (32.8495586, 39.8901361), (32.849983, 39.8902514), (32.8501304, 39.8900128), (32.8505078, 39.8891145), (32.8498119, 39.8889424), (32.8497716, 39.8890385), (32.8488434, 39.8888229), (32.8488279, 39.8886736), (32.8488433, 39.888509), (32.8488521, 39.8884563), (32.8488672, 39.8883663), (32.8491533, 39.8883338), (32.8498453, 39.8886734), (32.8498244, 39.8888239), (32.8507164, 39.8890758), (32.8510161, 39.888575), (32.8509681, 39.8881987), (32.8509008, 39.8876872), (32.8512207, 39.8874988), (32.8516513, 39.8871509), (32.8518803, 39.8871936), (32.8521622, 39.886924), (32.8521764, 39.8869098), (32.8519769, 39.8867697), (32.8522784, 39.8865084), (32.8522181, 39.8864682), (32.8527598, 39.8858624), (32.8530901, 39.8860032), (32.8531849, 39.8859923), (32.8532642, 39.8859482), (32.8534484, 39.8857217), (32.8534798, 39.8856058), (32.8536447, 39.8852849)]",64945.803295459824
7,Anayasa Parkı,"[(32.8559441, 39.8825265), (32.8564917, 39.8827062), (32.8567738, 39.8827988), (32.8569105, 39.8828591), (32.8569808, 39.882807), (32.857465, 39.8824963), (32.8569617, 39.8821997), (32.8570109, 39.8820494), (32.8566999, 39.8818355), (32.8563704, 39.8819966), (32.8558289, 39.8820502), (32.8559319, 39.8824335), (32.8559441, 39.8825265)]",8843.301388191196
8,Gençlik Parkı,"[(32.8539343, 39.9373124), (32.851921, 39.938689), (32.8504957, 39.939705), (32.8502489, 39.939735), (32.848063, 39.9386727), (32.8458934, 39.9375591), (32.8452923, 39.9372475), (32.8447625, 39.9369194), (32.8446861, 39.9368588), (32.8446606, 39.936796), (32.8446692, 39.9367269), (32.8446753, 39.936679), (32.8446861, 39.9366161), (32.844748, 39.9365493), (32.8449758, 39.936396), (32.8453311, 39.9361811), (32.8458622, 39.9359693), (32.8463602, 39.9358006), (32.8469378, 39.9356464), (32.8476003, 39.9355209), (32.8493566, 39.9352114), (32.850776, 39.9349492), (32.8521305, 39.9347291), (32.8522472, 39.9347611), (32.852266, 39.9349894), (32.8524028, 39.9351765), (32.8524591, 39.9353833), (32.852787, 39.9359988), (32.8539949, 39.9360305), (32.8540142, 39.9364554), (32.8539343, 39.9373124)]",258558.7528923907
9,Elele Parkı,"[(32.7057152, 39.8980945), (32.705645, 39.8980167), (32.7057367, 39.8979833), (32.7059, 39.8978967), (32.7060883, 39.8979367), (32.7060558, 39.8979687), (32.7057768, 39.8981578), (32.7057152, 39.8980945)]",505.4042489705518
